Que,Intent,I1,I2
 About  Limits on  Catch-Up Contributions,Policy 1,0,1
 About  Limits on Employee and Catch-Up Contributions,Policy 1,0,1
 About  Limits on Employee Contributions,Policy 1,0,1
 About Assistance with Your Questions,Policy 1,0,1
 Agent for Service of Legal Process,Policy 1,0,1
 Agent for Service of Legal Process  in Other Important Information in the 1,Policy 1,0,1
 All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B in the 1,Policy 1,0,1
 All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B in the 1,Policy 1,0,1
 Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
 Automatic Pre-Tax Contributions 1 levels?,Policy 1,0,1
 Benefits Enrollment Deductions in Default Benefits: Day One,Policy 2,1,0
 Critical Benefits Enrollment Tips for myHR in Default Benefits: Day One,Policy 2,1,0
 Default Benefits: Day One,Policy 2,1,0
 Default Coverage (if you do nothing) in Default Benefits: Day One,Policy 2,1,0
 Direct Deposit usage employees,Policy 2,1,0
 Discover  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
 Discover  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
 Discover  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
 Discover  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
 Discover  Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
 Discover  Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
 Discover  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
 Discover  State Withholding Taxes in Taxation of Distributions,Policy 1,0,1
 Discover Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
 Discover Appendix B,Policy 1,0,1
 Discover Assignments  or Pledges  in Other Important Information,Policy 1,0,1
 Discover Assistance with Your Questions in Other Important Information,Policy 1,0,1
 Discover Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
 Discover Beneficiaries,Policy 1,0,1
 Discover Beneficiary Designation in Beneficiaries,Policy 1,0,1
 Discover Confirmation of Your Elections in Other Important Information,Policy 1,0,1
 Discover Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
 Discover Direct Rollover in Distributions Under the Plan,Policy 1,0,1
 Discover Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
 Discover Distributions Under the Plan,Policy 1,0,1
 Discover Enforce Your Rights in Other Important Information,Policy 1,0,1
 Discover Final Distribution in Distributions Under the Plan,Policy 1,0,1
 Discover General Claims & Appeals Process in General Claims & Appeals Process in Appendix B,Policy 1,0,1
 Discover Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
 Discover If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
 Discover In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
 Discover In-Service Withdrawals,Policy 1,0,1
 Discover Leaves of Absence,Policy 1,0,1
 Discover Legal and Compliance Department  in Other Important Information,Policy 1,0,1
 Discover Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
 Discover No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
 Discover Nonhardship Withdrawal  In-Service Withdrawals,Policy 1,0,1
 Discover Other Important Information,Policy 1,0,1
 Discover Paid Time Off (PTO),Policy 2,1,0
 Discover Partial Paymentsin Distributions Under the Plan,Policy 1,0,1
 Discover Participating Employers  in Other Important Information,Policy 1,0,1
 Discover Payroll Schedule,Policy 2,1,0
 Discover Plan Administrator  in Other Important Information,Policy 1,0,1
 Discover Plan Documents Govern  in Other Important Information,Policy 1,0,1
 Discover Plan Name and Number in  Other Important Information,Policy 1,0,1
 Discover Plan Sponsor  in Other Important Information,Policy 1,0,1
 Discover Plan Trustee,Policy 1,0,1
 Discover Plan Year  in Other Important Information,Policy 1,0,1
 Discover Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
 Discover Prorated (PTO) for 1st Year in Paid Time Off (PTO),Policy 2,1,0
 Discover Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
 Discover Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
 Discover Required Distribution,Policy 1,0,1
 Discover Sponsors Employer Identification Number  in Other Important Information,Policy 1,0,1
 Discover Suspension for Withdrawing Pre-Tax Contributions  In-Service Withdrawals,Policy 1,0,1
 Discover Taxation of Distributions,Policy 1,0,1
 Discover Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
 Discover Top-Heavy Rules  in Other Important Information,Policy 1,0,1
 Discover Type of Plan  in Other Important Information,Policy 1,0,1
 Discover Voting Rights on Shares in the 1,Policy 1,0,1
 Discover Voting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
 Discover Your ERISA Rights in Other Important Information,Policy 1,0,1
 Discretionary Authority of Plan Administrators in Appendix B in the 1,Policy 1,0,1
 Enforce Your Rights ,Policy 1,0,1
 Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B in the 1,Policy 1,0,1
 Hearing Panel,Policy 1,0,1
" Hyatt Legal Plans , a MetLife Company",Policy 2,1,0
 Loan Default distribution statement,Policy 1,0,1
 Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
 Military Leave Make-Up Contributions in Leaves of Absence in 401k plan,Policy 1,0,1
 Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B in the 1,Policy 1,0,1
 Required Distribution Age,Policy 1,0,1
 Tender Offers Rules ,Policy 1,0,1
 Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
 Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
 Tuition Reimbursement for associate courses,Policy 2,1,0
" Tuition Reimbursement for associate, graduate and undergraduate courses",Policy 2,1,0
 Tuition Reimbursement for graduate  courses,Policy 2,1,0
 Tuition Reimbursement for undergraduate courses,Policy 2,1,0
1  a safe harbor plan,Policy 1,0,1
1 loan repayments are invested according to your current investment directions on file,Policy 1,0,1
24/7 Nurseline  for Discover employees,Policy 2,1,0
24/7 Nurseline  for employees,Policy 2,1,0
404(k) Plan  Access Persons includes,Policy 1,0,1
Abbrevate HWEE,Policy 2,1,0
About  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
About  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
About  Auto & Homeowners Insurance Benefit,Policy 2,1,0
About  Claims Committee,Policy 1,0,1
About  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
About  Eligible Pay  in 1,Policy 1,0,1
About  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
About  interest rate of loan,Policy 1,0,1
About  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
About  refinance the loan,Policy 1,0,1
About  VSP Vision Plan,Policy 2,1,0
About 1,Policy 1,0,1
About 1  Limits,Policy 1,0,1
About 1 Wealth Benefits,Policy 2,1,0
About 24/7 Nurseline ,Policy 2,1,0
About Access Information and Resources,Policy 2,1,0
About Access to myHR,Policy 2,1,0
About Account Reallocation (Reallocate My Balance Transaction under Change Investments),Policy 1,0,1
About Account Reallocation 1,Policy 1,0,1
About AD&D Insurance,Policy 2,1,0
About Adoption Assistance,Policy 2,1,0
About After-Tax Contributions,Policy 1,0,1
About Annual eyeglass lenses ,Policy 2,1,0
About Appendix  B,Policy 1,0,1
About Appendix A 1 ,Policy 1,0,1
About Auto & Homeowners Insurance,Policy 2,1,0
About Automatic Pre-Tax Contributions 1,Policy 1,0,1
About Automatic Rebalance (Start Rebalancing Transaction under Change Investments),Policy 1,0,1
About Automatic Rebalance 1,Policy 1,0,1
About Basic Accidental Death and Dismemberment (AD&D) Insurance,Policy 2,1,0
About Business Travel Accident Insurance,Policy 2,1,0
About C.A.R.E.,Policy 2,1,0
About Catch-Up Contributions 1,Policy 1,0,1
"About Child Care Discounts
",Policy 2,1,0
About Commuter Benefits,Policy 2,1,0
About Commuter Benefits Program ,Policy 2,1,0
About Company Contributions 1,Policy 1,0,1
About Contributions  1,Policy 1,0,1
About Convenient Access to Resolutions for Employees,Policy 2,1,0
About Dental plan,Policy 2,1,0
About Different types of money transactions,Policy 1,0,1
About Different ways of money transactions,Policy 1,0,1
About Direct Deposit,Policy 2,1,0
About Discover 24/7 Nurseline ,Policy 2,1,0
About Discover Dental plan,Policy 2,1,0
About Discover Healthcare FSA,Policy 2,1,0
About Discover medical plan,Policy 2,1,0
About Discover MetLife Dental Plan plan,Policy 2,1,0
About Discover Retiree medical plan,Policy 2,1,0
About Discover Vision Benefits,Policy 2,1,0
About Discover Weight Watchers ,Policy 2,1,0
About Discretionary Authority,Policy 1,0,1
About Dividend Payment Election,Policy 1,0,1
About Eligibility  for 1,Policy 1,0,1
About Eligibility and Participation 1,Policy 1,0,1
About Employee Contributions 1,Policy 1,0,1
About Employee Stock Purchase Plan,Policy 2,1,0
About Employee Timekeeping,Policy 2,1,0
About ESPP,Policy 2,1,0
About Federal Tax Withholding,Policy 2,1,0
About Federal Tax Withholding  W-4 Form,Policy 2,1,0
About First pay check,Policy 2,1,0
About Fixed Company Contributions ,Policy 1,0,1
About Fixed Contributions and Matching Contributions,Policy 1,0,1
About Flexible Spending Accounts Healthcare,Policy 2,1,0
About Florida Department of Revenue,Policy 1,0,1
About Florida Documentary Stamp tax,Policy 1,0,1
About Forfeitures 1,Policy 1,0,1
About Fund Transfer (Transfer Money From Fund(s) to Fund(s) Transaction under Change Investments),Policy 1,0,1
About Fund Transfer 1,Policy 1,0,1
About General Claims & Appeals Process in Appendix B,Policy 1,0,1
About General Purpose Loans,Policy 1,0,1
About Healthcare FSA,Policy 2,1,0
About Important Tax Implications,Policy 1,0,1
About Important Tax Implications 1,Policy 1,0,1
About In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
About Insurance Programs,Policy 2,1,0
About Insurance Programs Automatic,Policy 2,1,0
About Insurance Programs Automatic: Covered by Discover,Policy 2,1,0
About Insurance Programs Covered by Discover,Policy 2,1,0
About Insurance Programs Optional,Policy 2,1,0
"About Insurance Programs Optional: Paid by Employee
",Policy 2,1,0
About Insurance Programs Paid by Employee,Policy 2,1,0
About Investment alternatives,Policy 1,0,1
About Investment Options ,Policy 1,0,1
About iRefer,Policy 2,1,0
About iRefer employee referral program,Policy 2,1,0
About Legal Assistance Plan,Policy 2,1,0
About Limits on Company Contributions,Policy 1,0,1
About Limits on Total Contributions,Policy 1,0,1
About Live and Work Well Program,Policy 2,1,0
About Live well,Policy 2,1,0
About Live well Balance programs Automatic,Policy 2,1,0
About Live well Balance programs Optional,Policy 2,1,0
About Live well Health wealth Balance,Policy 2,1,0
About Livewell,Policy 2,1,0
About Livewell Balance programs Automatic,Policy 2,1,0
About Livewell Balance programs Optional,Policy 2,1,0
About Livewell Health wealth Balance,Policy 2,1,0
About Loan Default,Policy 1,0,1
About Loan Default Terminate Employment,Policy 1,0,1
About Loan Default While Active,Policy 1,0,1
About Loans,Policy 1,0,1
About Long-Term Disability (LTD),Policy 2,1,0
About Long-Term Disability (LTD) Insurance,Policy 2,1,0
About making partial loan repayments.,Policy 1,0,1
About making partial repayments,Policy 1,0,1
About Matching Company Contributions,Policy 1,0,1
About Matching Contributions 1,Policy 1,0,1
About medical plan,Policy 2,1,0
About MetLife Dental Plan plan,Policy 2,1,0
About Military Service in loans,Policy 1,0,1
About myHR desktop icon,Policy 2,1,0
About net unrealized appreciation ,Policy 1,0,1
About net unrealized appreciation (NUA),Policy 1,0,1
About NUA,Policy 1,0,1
About Participating Employers,Policy 1,0,1
About Participation for 1,Policy 1,0,1
About Pay in 1,Policy 1,0,1
About Pay Schedule,Policy 2,1,0
About Pet Insurance Benefit,Policy 2,1,0
About Pet Insurance Program,Policy 2,1,0
About Plan Confirmation of Your Elections,Policy 1,0,1
About Plan Documents Govern,Policy 1,0,1
About Plan Trustee,Policy 1,0,1
About Plan Year,Policy 1,0,1
About Pre-Tax Contributions 1,Policy 1,0,1
About primary residence loan application form,Policy 1,0,1
About Primary Residence Loans,Policy 1,0,1
About Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
About Reallocate My Balance Transaction under Change Investments,Policy 1,0,1
About Repaying a Loan,Policy 1,0,1
About Requesting a Loan,Policy 1,0,1
About Restrictions on Discover Stock Fund Transactions,Policy 1,0,1
About Restrictions on Trading,Policy 1,0,1
About Restrictions on Trading 1,Policy 1,0,1
About Retiree medical plan,Policy 2,1,0
About Retirement Plan Investment Committee,Policy 1,0,1
About Rollover Contributions 1,Policy 1,0,1
About Rollover Request Form,Policy 1,0,1
About Service Awards Plan,Policy 2,1,0
About Service Crediting in Vesting ,Policy 1,0,1
About Special Tax Rule on net unrealized appreciation FAQ,Policy 1,0,1
About Special Tax Rule on NUA FAQ,Policy 1,0,1
About Start Rebalancing Transaction under Change Investments,Policy 1,0,1
About State Withholding Tax Form,Policy 2,1,0
About Supplemental AD&D Insurance,Policy 2,1,0
About Supplemental Life Insurance,Policy 2,1,0
About Tax Forms,Policy 2,1,0
About Timekeeping,Policy 2,1,0
About Timekeeping and Pay,Policy 2,1,0
About Timing myHR,Policy 2,1,0
About Top-Heavy Rules,Policy 1,0,1
About Transfer Money From Fund(s) to Fund(s),Policy 1,0,1
About Transferring Your Money 1,Policy 1,0,1
About Transition Credit Contributions 1,Policy 1,0,1
About Tuition Reimbursement,Policy 2,1,0
About Various types of money transactions,Policy 1,0,1
About Various ways of money transactions,Policy 1,0,1
About Vesting 1,Policy 1,0,1
About Vision Benefits,Policy 2,1,0
About WageWorks Commuter Benefits Program ,Policy 2,1,0
